company_id,name,company_size,state,city
5154,Jefferies,5,New York,New York City
5160,Trimble Inc.,7,CO,Westminster
5161,Morningstar,7,IL,Chicago
5167,Los Angeles Times,5,California,El Segundo
5185,Bausch + Lomb,7,NJ,Bridgewater
5186,Ascensus,6,PA,Dresher
5210,L.E.K. Consulting,5,MA,Boston
5218,"Nalco Water, An Ecolab Company",7,Illinois,Naperville
5234,Rackspace Technology,6,Texas,San Antonio
5235,LHH,7,Florida,Jacksonville
5240,ZS,7,IL,Evanston
5264,McMaster-Carr,5,Illinois,Elmhurst
5266,SRI,5,CA,Menlo Park
5274,Northeastern University,6,MA,Boston
5289,Rent.,4,GA,Atlanta
5294,LPL Financial,6,CA,San Diego
5311,Esri,6,CA,Redlands
5313,Owens Corning,7,OH,Toledo
5315,Tenet Healthcare,7,Texas,Dallas
5318,MFS Investment Management,5,Massachusetts,Boston
5327,Los Alamos National Laboratory,7,NM,Los Alamos
5329,Blizzard Entertainment,5,CA,Irvine
5343,Sysco,7,TX,Houston
5351,Connection,5,NH,Merrimack
5353,GSA,7,D.C.,Washington
5372,UC Santa Barbara,6,CA,Santa Barbara
5379,Sandia National Laboratories,7,NM,Albuquerque
5410,Abercrombie & Fitch Co.,7,OH,Columbus
5441,University of Missouri Health Care,6,Missouri,Columbia
5442,University of Missouri-Columbia,7,MO,Columbia
5458,Hess Corporation,5,NY,New York
5461,ManTech,6,Virginia,Herndon
5466,Ashland,5,Delaware,Wilmington
5471,GALLO,6,California,Modesto
5484,Mercatus Center at George Mason University,2,VA,Arlington
5489,George Mason University,6,Virginia ,Fairfax
5499,CME Group,5,IL,Chicago
5505,Consilio LLC,5,DC,Washington
5507,Crowe,6,Illinois,Chicago
5508,Morrison Foerster,5,California,San Francisco
5509,FTI Consulting,6,0,"Washington, DC"
5512,Concurrent Technologies Corporation,3,PA,Johnstown
5515,Southern Methodist University,5,TX,Dallas
5533,Westfield Insurance,5,Ohio,Westfield Center
5548,Premera Blue Cross,5,Washington,Mountlake Terrace
5553,ADM,7,IL,Chicago
5573,The Standard,5,Oregon,Portland
5574,Plexus Corp.,7,WI,Neenah
5584,Allied Telesis,5,CA,San Jose
5591,Nintendo,5,Washington,Redmond
5597,Forbes,3,NJ,Jersey City
5599,USANA Health Sciences,4,Utah,Salt Lake City
5603,Mercury Systems,5,MA,Andover
5609,Capella University,5,MN,Minneapolis
5612,"Greenberg Traurig, LLP",5,New York,New York
5617,Cirrus Logic,5,TX,Austin
5618,Coach,7,NY,New York
5619,Herbalife,7,CA,Los Angeles
5624,McClatchy,5,California,Sacramento
5628,Varian,6,CA,Palo Alto
5630,Memorial Sloan Kettering Cancer Center,7,NY,New York
5649,Huntsman Corporation,6,TX,The Woodlands
5656,Cleveland Clinic,7,Ohio,Cleveland
